,heading,href,date
4104,RBK nekter å stå æresvakt for seriemesteren – Molde-sjefen mener de har misforstått,https://vg.no/sport/fotball/i/y6689E/rbk-nekter-aa-staa-aeresvakt-for-seriemesteren-molde-sjefen-mener-de-har-misforstaatt,2022-10-20
4105,Fantasy Premier League Gameweek 12: Bruke chips eller ta hits?,https://vg.no/sport/fotball/i/q11vLz/fantasy-premier-league-gameweek-12-bruke-chips-eller-ta-hits,2022-10-20
4106,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-10-20
4107,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-10-20
4108,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-10-20
4109,Arsenal med Glimt-hjelp: Xhaka matchvinner,https://vg.no/sport/fotball/i/APPBBE/arsenal-med-glimt-hjelp-xhaka-matchvinner,2022-10-21
4110,Ronaldo svarer etter vrakingen: − Noen ganger koker det over,https://vg.no/sport/fotball/i/dwwaz1/ronaldo-svarer-etter-vrakingen-noen-ganger-koker-det-over,2022-10-21
4111,Martin Ødegaard får Kniksens hederspris,https://vg.no/sport/fotball/i/5BBk61/martin-oedegaard-faar-kniksens-hederspris,2022-10-21
4112,Svenskene tok Qatar-grep etter kritikk,https://vg.no/sport/fotball/i/Knn1Q7/svenskene-tok-qatar-grep-etter-kritikk,2022-10-21
4113,Ten Hag om Ronaldo-oppførsel: − Vil håndtere det i morgen,https://vg.no/sport/fotball/i/mQQpVv/ten-hag-om-ronaldo-oppfoersel-vil-haandtere-det-i-morgen,2022-10-21
4114,Manchester United herjet med Tottenham – strålende Lloris hindret ydmykelse,https://vg.no/sport/fotball/i/Lllq1J/manchester-united-herjet-med-tottenham-straalende-lloris-hindret-ydmykelse,2022-10-21
4115,Darwin Núñez med sitt første Anfield-mål – Liverpool med to strake ligaseirer,https://vg.no/sport/fotball/i/2BBVjy/darwin-nunez-med-sitt-foerste-anfield-maal-liverpool-med-to-strake-ligaseirer,2022-10-21
4116,Bolkan Nordli sendte Jerv et langt steg mot nedrykk,https://vg.no/sport/fotball/i/JQQR2P/bolkan-nordli-sendte-jerv-et-langt-steg-mot-nedrykk,2022-10-21
4117,Fengslet i Qatar: NRK-journalist dropper VM-reise,https://vg.no/sport/fotball/i/8JJXow/fengslet-i-qatar-nrk-journalist-dropper-vm-reise,2022-10-21
4118,Knalltøff trekning for Norge i U21-EM: − Dette guttene drømmer om,https://vg.no/sport/fotball/i/eJJkMM/knalltoeff-trekning-for-norge-i-u21-em-dette-guttene-droemmer-om,2022-10-21
4119,RBK nekter å stå æresvakt for seriemesteren – Molde-sjefen mener de har misforstått,https://vg.no/sport/fotball/i/y6689E/rbk-nekter-aa-staa-aeresvakt-for-seriemesteren-molde-sjefen-mener-de-har-misforstaatt,2022-10-21
